target_id,source_table,source_location,portfolio_set,model,statistic,published_value,published_decimals,uncertainty_type,uncertainty_value,tolerance_rule,notes
TBL3_BM_lambda_M,Table 3,article_pdf:p.938:Table 3,book_to_market,capm,lambda_market,0.70,2,shanken_t_statistic,3.33,published_rounding,article row label BM; risk price in %; t-ratio marked ***; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL3_BM_lambda_M_empp,Table 3,article_pdf:p.938:Table 3,book_to_market,capm,lambda_market,0.70,2,empirical_bootstrap_p_value,0.000,published_rounding,article row label BM; bootstrap empirical p-value for lambda_market printed in square brackets; no significance stars are printed on empirical p-values
TBL3_BM_chi2,Table 3,article_pdf:p.938:Table 3,book_to_market,capm,chi_square,16.00,2,asymptotic_p_value,0.067,published_rounding,article row label BM; chi-square test of joint significance of pricing errors; asymptotic p-value printed in parentheses
TBL3_BM_chi2_empp,Table 3,article_pdf:p.938:Table 3,book_to_market,capm,chi_square,16.00,2,empirical_bootstrap_p_value,0.063,published_rounding,article row label BM; same chi-square statistic as TBL3_BM_chi2; bootstrap empirical p-value printed in square brackets
TBL3_BM_R2OLS,Table 3,article_pdf:p.938:Table 3,book_to_market,capm,r2_ols,-0.41,2,empirical_bootstrap_p_value,0.289,published_rounding,article row label BM; cross-sectional OLS R2 printed as a negative decimal fraction (source uses Unicode minus U+2212); empirical p-value in square brackets
TBL3_DUR_lambda_M,Table 3,article_pdf:p.938:Table 3,equity_duration,capm,lambda_market,0.68,2,shanken_t_statistic,3.23,published_rounding,article row label DUR; risk price in %; t-ratio marked ***; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL3_DUR_lambda_M_empp,Table 3,article_pdf:p.938:Table 3,equity_duration,capm,lambda_market,0.68,2,empirical_bootstrap_p_value,0.000,published_rounding,article row label DUR; bootstrap empirical p-value for lambda_market printed in square brackets; no significance stars are printed on empirical p-values
TBL3_DUR_chi2,Table 3,article_pdf:p.938:Table 3,equity_duration,capm,chi_square,22.31,2,asymptotic_p_value,0.008,published_rounding,article row label DUR; chi-square test of joint significance of pricing errors; asymptotic p-value printed in parentheses
TBL3_DUR_chi2_empp,Table 3,article_pdf:p.938:Table 3,equity_duration,capm,chi_square,22.31,2,empirical_bootstrap_p_value,0.045,published_rounding,article row label DUR; same chi-square statistic as TBL3_DUR_chi2; bootstrap empirical p-value printed in square brackets
TBL3_DUR_R2OLS,Table 3,article_pdf:p.938:Table 3,equity_duration,capm,r2_ols,-0.85,2,empirical_bootstrap_p_value,0.342,published_rounding,article row label DUR; cross-sectional OLS R2 printed as a negative decimal fraction (source uses Unicode minus U+2212); empirical p-value in square brackets
TBL3_EP_lambda_M,Table 3,article_pdf:p.938:Table 3,earnings_to_price,capm,lambda_market,0.67,2,shanken_t_statistic,3.21,published_rounding,article row label EP; risk price in %; t-ratio marked ***; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL3_EP_lambda_M_empp,Table 3,article_pdf:p.938:Table 3,earnings_to_price,capm,lambda_market,0.67,2,empirical_bootstrap_p_value,0.000,published_rounding,article row label EP; bootstrap empirical p-value for lambda_market printed in square brackets; no significance stars are printed on empirical p-values
