family,article_label,article_definition,article_quotation_location,source_named_by_authors,provider,exact_file_located,file_vintage,weighting,number_of_portfolios,return_units,missing_value_codes,redistribution_terms,baseline_eligibility,extension_eligibility,archive,member,member_sha256,normalized_path,normalized_sha256,sample_start,sample_end,monthly_observations,continuous_months,minimum_stocks_per_portfolio,published_spread_mean,computed_spread_mean,published_spread_sd,computed_spread_sd,source_compatibility,unresolved_ambiguity
book_to_market,BM,value-weighted deciles sorted on the book-to-market ratio,article_pdf:p.936-p.937,Lu Zhang,"Hou, Xue, and Zhang testing-portfolio library (global-q.org); the article attributes these deciles to Lu Zhang","no; the article names a person, not a file, and no publication-era vintage of this library is recoverable from the Internet Archive, whose earliest snapshot of the testing-portfolio page is 2019-11-24","2025 annual rebuild, retrieved 2026-08-02",value_weighted,10,percent_per_month,"none; the archive omits absent months rather than coding them, and no month is absent between 1967-01 and 2025-12",public author-provided research data; the download page states no registration or licensing condition. Raw archive bytes are retained locally and are not redistributed by this repository,"documented reconstruction only; eligible for reconstruction-labelled baseline estimation, never for an exact-replication label","eligible; the panel runs to 2025-12, which becomes the binding extension endpoint",vvg_monthly_2025,portf_bm_monthly_2025.csv,0dbba371bd905751ee97372a48b0c5c4ac383d2b1dbdae2adecbeb53f617eab2,data/interim/portfolios/book_to_market_global_q_2025_retrieved_20260802.csv,1ed644ab8b04b74ef262f04985ba47e02e077507d97630ca476d98a6666cb0fe,1967-01,2025-12,708,True,104,0.69,0.6642,4.86,4.7206,same_source_lineage_different_vintage_or_construction,Source-compatibility diagnostic on the published Table 2 high-minus-low row: 0 of 5 statistics agree at published precision
earnings_to_price,EP,value-weighted deciles sorted on the earnings-to-price ratio,article_pdf:p.936-p.937,Lu Zhang,"Hou, Xue, and Zhang testing-portfolio library (global-q.org); the article attributes these deciles to Lu Zhang","no; the article names a person, not a file, and no publication-era vintage of this library is recoverable from the Internet Archive, whose earliest snapshot of the testing-portfolio page is 2019-11-24","2025 annual rebuild, retrieved 2026-08-02",value_weighted,10,percent_per_month,"none; the archive omits absent months rather than coding them, and no month is absent between 1967-01 and 2025-12",public author-provided research data; the download page states no registration or licensing condition. Raw archive bytes are retained locally and are not redistributed by this repository,"documented reconstruction only; eligible for reconstruction-labelled baseline estimation, never for an exact-replication label","eligible; the panel runs to 2025-12, which becomes the binding extension endpoint",vvg_monthly_2025,portf_ep_monthly_2025.csv,45bb7ebe71774fc38fcf3fd1cd9d42cc0a5602769246e7909ed35e57aadae516,data/interim/portfolios/earnings_to_price_global_q_2025_retrieved_20260802.csv,1ce72ca029f10ef4316966a37d7dc7d94da0475b74f39df909060de68204651c,1967-01,2025-12,708,True,94,0.58,0.4992,4.83,4.7731,same_source_lineage_different_vintage_or_construction,Source-compatibility diagnostic on the published Table 2 high-minus-low row: 1 of 5 statistics agree at published precision
equity_duration,DUR,value-weighted deciles sorted on equity duration,article_pdf:p.936-p.937,Lu Zhang,"Hou, Xue, and Zhang testing-portfolio library (global-q.org); the article attributes these deciles to Lu Zhang","no; the article names a person, not a file, and no publication-era vintage of this library is recoverable from the Internet Archive, whose earliest snapshot of the testing-portfolio page is 2019-11-24","2025 annual rebuild, retrieved 2026-08-02",value_weighted,10,percent_per_month,"none; the archive omits absent months rather than coding them, and no month is absent between 1967-01 and 2025-12",public author-provided research data; the download page states no registration or licensing condition. Raw archive bytes are retained locally and are not redistributed by this repository,"documented reconstruction only; eligible for reconstruction-labelled baseline estimation, never for an exact-replication label","eligible; the panel runs to 2025-12, which becomes the binding extension endpoint",vvg_monthly_2025,portf_dur_monthly_2025.csv,edc56d0f017d2568289add4ecc25c22079ff4f613b06273d9664f0d1f3948d3e,data/interim/portfolios/equity_duration_global_q_2025_retrieved_20260802.csv,bf3bba6be9db675349f164fd82d518eb1b77079a717d78053f25c63cae691359,1967-01,2025-12,708,True,38,-0.52,-0.5466,4.34,4.4898,same_source_lineage_different_vintage_or_construction,Source-compatibility diagnostic on the published Table 2 high-minus-low row: 0 of 5 statistics agree at published precision
long_term_reversal,REV,value-weighted deciles sorted on long-term prior returns,article_pdf:p.936-p.937,Lu Zhang,"Hou, Xue, and Zhang testing-portfolio library (global-q.org); the article attributes these deciles to Lu Zhang","no; the article names a person, not a file, and no publication-era vintage of this library is recoverable from the Internet Archive, whose earliest snapshot of the testing-portfolio page is 2019-11-24","2025 annual rebuild, retrieved 2026-08-02",value_weighted,10,percent_per_month,"none; the archive omits absent months rather than coding them, and no month is absent between 1967-01 and 2025-12",public author-provided research data; the download page states no registration or licensing condition. Raw archive bytes are retained locally and are not redistributed by this repository,"documented reconstruction only; eligible for reconstruction-labelled baseline estimation, never for an exact-replication label","eligible; the panel runs to 2025-12, which becomes the binding extension endpoint",vvg_monthly_2025,portf_rev_1_monthly_2025.csv,b23d4346919f11ce4730c3608dafbea94239bef05e198e656c41684f1c074417,data/interim/portfolios/long_term_reversal_global_q_2025_retrieved_20260802.csv,90e7f9c96d55b9e1865d72293eee81c39ad5563839ac196a2e3d3f39e05b2929,1967-01,2025-12,708,True,90,-0.41,-0.3973,5.21,5.1729,same_source_lineage_different_vintage_or_construction,"The article states no holding period. Three archive members exist with 1, 6, and 12 month holding periods. The 1-month member is closest to the published Table 2 row by a total absolute distance of 1.97 against 5.74 and 11.37 and is selected on that basis; the other two remain registered as declared alternatives; Source-compatibility diagnostic on the published Table 2 high-minus-low row: 1 of 5 statistics agree at published precision"
investment_to_assets,IA,value-weighted deciles sorted on the investment-to-assets ratio,article_pdf:p.936-p.937,Lu Zhang,"Hou, Xue, and Zhang testing-portfolio library (global-q.org); the article attributes these deciles to Lu Zhang","no; the article names a person, not a file, and no publication-era vintage of this library is recoverable from the Internet Archive, whose earliest snapshot of the testing-portfolio page is 2019-11-24","2025 annual rebuild, retrieved 2026-08-02",value_weighted,10,percent_per_month,"none; the archive omits absent months rather than coding them, and no month is absent between 1967-01 and 2025-12",public author-provided research data; the download page states no registration or licensing condition. Raw archive bytes are retained locally and are not redistributed by this repository,"documented reconstruction only; eligible for reconstruction-labelled baseline estimation, never for an exact-replication label","eligible; the panel runs to 2025-12, which becomes the binding extension endpoint",inv_monthly_2025,portf_ia_monthly_2025.csv,40a27b394d89f2f9563758fe98eff5552361ce8d4eb55354cc7f8899cecf9bf5,data/interim/portfolios/investment_to_assets_global_q_2025_retrieved_20260802.csv,a5bcdbc373a17df728aa5c03a7e3c98cd3099ea8c690f70ece7b24a6ab426044,1967-01,2025-12,708,True,94,-0.42,-0.428,3.62,3.5963,same_source_lineage_different_vintage_or_construction,Source-compatibility diagnostic on the published Table 2 high-minus-low row: 1 of 5 statistics agree at published precision
ppe_investment,PIA,"value-weighted deciles sorted on changes in property, plant, and equipment plus changes in inventory scaled by assets",article_pdf:p.936-p.937,Lu Zhang,"Hou, Xue, and Zhang testing-portfolio library (global-q.org); the article attributes these deciles to Lu Zhang","no; the article names a person, not a file, and no publication-era vintage of this library is recoverable from the Internet Archive, whose earliest snapshot of the testing-portfolio page is 2019-11-24","2025 annual rebuild, retrieved 2026-08-02",value_weighted,10,percent_per_month,"none; the archive omits absent months rather than coding them, and no month is absent between 1967-01 and 2025-12",public author-provided research data; the download page states no registration or licensing condition. Raw archive bytes are retained locally and are not redistributed by this repository,"documented reconstruction only; eligible for reconstruction-labelled baseline estimation, never for an exact-replication label","eligible; the panel runs to 2025-12, which becomes the binding extension endpoint",inv_monthly_2025,portf_dpia_monthly_2025.csv,b629133b5bead13dc94ca73672bc2251cf54ee6b589cfc071bcc17f2ba5e0496,data/interim/portfolios/ppe_investment_global_q_2025_retrieved_20260802.csv,04214950611d919cd54a844d83a829cd8094a57b4dca23935aca5ac393b3a6fd,1967-01,2025-12,708,True,86,-0.49,-0.5067,3.0,3.0136,same_source_lineage_different_vintage_or_construction,Source-compatibility diagnostic on the published Table 2 high-minus-low row: 1 of 5 statistics agree at published precision
inventory_growth,IVG,value-weighted deciles sorted on inventory growth,article_pdf:p.936-p.937,Lu Zhang,"Hou, Xue, and Zhang testing-portfolio library (global-q.org); the article attributes these deciles to Lu Zhang","no; the article names a person, not a file, and no publication-era vintage of this library is recoverable from the Internet Archive, whose earliest snapshot of the testing-portfolio page is 2019-11-24","2025 annual rebuild, retrieved 2026-08-02",value_weighted,10,percent_per_month,"none; the archive omits absent months rather than coding them, and no month is absent between 1967-01 and 2025-12",public author-provided research data; the download page states no registration or licensing condition. Raw archive bytes are retained locally and are not redistributed by this repository,"documented reconstruction only; eligible for reconstruction-labelled baseline estimation, never for an exact-replication label","eligible; the panel runs to 2025-12, which becomes the binding extension endpoint",inv_monthly_2025,portf_ivg_monthly_2025.csv,63159acb9c0f428d1336adf73291e4dacd0c94638943af93f43453952a454815,data/interim/portfolios/inventory_growth_global_q_2025_retrieved_20260802.csv,018854e864c3eac3e117785d52f548493bcd3d55c92cc90a1d6a0db445fabd5d,1967-01,2025-12,708,True,80,-0.36,-0.3463,3.15,3.17,same_source_lineage_different_vintage_or_construction,Source-compatibility diagnostic on the published Table 2 high-minus-low row: 1 of 5 statistics agree at published precision
all_seven_families_joint,70 portfolios,stacked union of the seven value-weighted decile families,supplement_zip:appendix_pdf:Tables A.8 and A.13,Lu Zhang,"Hou, Xue, and Zhang testing-portfolio library (global-q.org); the article attributes these deciles to Lu Zhang",not applicable; derived from the seven families,"2025 annual rebuild, retrieved 2026-08-02",value_weighted,70,percent_per_month,"none; the archive omits absent months rather than coding them, and no month is absent between 1967-01 and 2025-12",public author-provided research data; the download page states no registration or licensing condition. Raw archive bytes are retained locally and are not redistributed by this repository,documented reconstruction only,eligible to 2025-12,,,,,,1967-01,2025-12,708,True,38,,,,,inherits the seven families,Availability is exactly the availability of the seven families
equal_weighted_seven_families,EW deciles,equal-weighted deciles for the same seven anomalies,article_pdf:p.928-p.929 and p.950-p.951:Table 7,Lu Zhang,"Hou, Xue, and Zhang testing-portfolio library (global-q.org); the article attributes these deciles to Lu Zhang",NOT LOCATED,not applicable,equal_weighted,10,not applicable,not applicable,not applicable,BLOCKED; every archive member exposes only a ret_vw column and carries no equal-weighted return,BLOCKED,,,,,,,,0,False,0,,,,,unavailable,Article Table 7 cannot be attempted from any acquired source. No substitute is used
cash_flow_to_price,CFP,deciles sorted on the cash-flow-to-price ratio,supplement_zip:appendix_pdf:Section 2.3 and Table A.4,Lu Zhang,"Hou, Xue, and Zhang testing-portfolio library (global-q.org); the article attributes these deciles to Lu Zhang",no; the same limitation as the baseline families,"2025 annual rebuild, retrieved 2026-08-02",value_weighted,10,percent_per_month,"none; the archive omits absent months rather than coding them, and no month is absent between 1967-01 and 2025-12",public author-provided research data; the download page states no registration or licensing condition. Raw archive bytes are retained locally and are not redistributed by this repository,supplement target R1f only; documented reconstruction,eligible to 2025-12,vvg_monthly_2025,portf_cp_monthly_2025.csv,be359cf758fed65d750da7aba7c4e7a480b27ce82cb2585b7cd02b7af3e62336,data/interim/portfolios/cash_flow_to_price_global_q_2025_retrieved_20260802.csv,d833df1fe05b2030ea04dc1d739d3f45ad18978ff2d60ed80dbad035f6d80819,1967-01,2025-12,708,True,105,,,,,same source lineage; the article reports no Table 2 row for this family,"Table A.4 also requires equal-weighted variants, which are unavailable"
